FID,LAD19CD,LAD19NM,LAD19NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
45,E06000047,County Durham, ,410381,532242,-1.8405,54.6851,6674859420.80945,534953.942251404
46,E06000049,Cheshire East, ,380510,363462,-2.29299,53.1679,3243760647.37427,502411.661833351
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.1634,2619875712.35339,431144.003194767
48,E06000051,Shropshire, ,350227,302960,-2.73667,52.6221,8671844809.9353,956867.956281271
49,E06000052,Cornwall, ,212501,64494,-4.64249,50.4502,8882627130.85962,1231767.48778835
50,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.9233,55005672.1455078,273937.58105463
51,E06000054,Wiltshire, ,405209,158863,-1.92661,51.3288,8320810780.56909,643286.925432181
52,E06000055,Bedford, ,505721,256463,-0.45463,52.1963,1266132007.49251,214772.868617696
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.999,1886534175.44627,377672.167042009
54,E06000057,Northumberland, ,395323,600699,-2.07521,55.3004,15599672886.1394,973704.335180394
55,E06000058,"Bournemouth, Christchurch and Poole", ,410815,94067,-1.84807,50.7461,433304401.072266,142672.157411269
56,E06000059,Dorset, ,370871,99796,-2.41467,50.797,6309691300.55188,650617.45252086
57,E07000004,Aylesbury Vale, ,477330,223020,-0.87746,51.9004,2367997125.03909,393644.459086007
58,E07000005,Chiltern, ,495432,198692,-0.62112,51.6789,510209955.473694,140675.161791358
59,E07000006,South Bucks, ,498198,185455,-0.58484,51.5594,365102730.473755,137404.373221653
60,E07000007,Wycombe, ,482477,197052,-0.80883,51.6662,842274686.552063,182398.528014058
61,E07000008,Cambridge, ,545420,257901,0.126436,52.2002,108183923.709618,60602.2265589281
62,E07000009,East Cambridgeshire, ,555577,275765,0.283163,52.3579,1743449738.55951,314836.470940545
63,E07000010,Fenland, ,536361,294959,0.009016,52.5354,1479052450.98206,252520.122947922
64,E07000011,Huntingdonshire, ,521010,274271,-0.22467,52.3532,2445202266.39461,363710.994523362
65,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.1081,2394072080.67693,418624.477969353
66,E07000026,Allerdale, ,317516,532995,-3.28096,54.6852,3950483285.65234,407867.851183905
67,E07000027,Barrow-in-Furness, ,321750,474171,-3.19976,54.1574,384004586.658203,133332.101724902
68,E07000028,Carlisle, ,348444,565195,-2.80705,54.9787,3195030072.58838,380360.633602256
69,E07000029,Copeland, ,310871,508741,-3.37664,54.4662,2287323807.2915,284571.366348063
70,E07000030,Eden, ,359636,526396,-2.62678,54.6311,6420809682.8374,463711.308576894
71,E07000031,South Lakeland, ,349265,489554,-2.78108,54.2991,5109869054.71619,552112.70336197
72,E07000032,Amber Valley, ,436166,348084,-1.46219,53.0288,733045599.896851,181176.476957466
73,E07000033,Bolsover, ,448666,371548,-1.27228,53.2388,446625096.179871,160601.763921206
74,E07000034,Chesterfield, ,440049,373359,-1.40115,53.2557,184292253.787537,87893.0551007314
75,E07000035,Derbyshire Dales, ,419697,358493,-1.70711,53.1233,2206552921.74365,408870.338935428
76,E07000036,Erewash, ,443721,338063,-1.3509,52.9382,301452090.154663,121953.127943341
77,E07000037,High Peak, ,410474,387660,-1.84398,53.3857,1516047375.01563,267310.152560974
78,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.1624,768137356.777405,269294.471162948
79,E07000039,South Derbyshire, ,431434,325365,-1.53494,52.8249,925342554.420776,275900.450208962
80,E07000040,East Devon, ,313775,96055,-3.22381,50.7576,2057364652.41333,348985.399812041
81,E07000041,Exeter, ,293236,92003,-3.51372,50.7178,119382821.439941,58839.591852333
82,E07000042,Mid Devon, ,288064,108911,-3.59212,50.8688,2290789334.75562,390206.288733006
83,E07000043,North Devon, ,265110,132524,-3.92691,51.0761,2795668772.76172,379227.316179044
84,E07000044,South Hams, ,270677,54033,-3.81994,50.3719,2223607785.9209,504441.802105327
85,E07000045,Teignbridge, ,283069,80251,-3.65396,50.6102,1689344806.13745,253246.421739087
86,E07000046,Torridge, ,244206,114405,-4.21731,50.908,2498707053.17163,484936.699457279
87,E07000047,West Devon, ,256379,86998,-4.03357,50.6649,2894881534.02808,379802.564078975
88,E07000061,Eastbourne, ,559351,99605,0.258699,50.7741,113722205.790054,63012.0572457387
89,E07000062,Hastings, ,581599,110745,0.579429,50.8677,77303911.7421875,56250.0566279807
90,E07000063,Lewes, ,541474,105685,0.007671,50.8334,738754831.483837,182916.874122445
91,E07000064,Rother, ,578730,119663,0.543064,50.9487,1303772765.00023,259559.328385381
92,E07000065,Wealden, ,555048,117173,0.205153,50.9332,2106053144.77454,347445.521716904
93,E07000066,Basildon, ,571548,190848,0.475055,51.5904,285706652.217896,95973.1587284077
94,E07000067,Braintree, ,577253,227335,0.575911,51.9163,1607073219.0578,273423.790299284
95,E07000068,Brentwood, ,558560,196070,0.290091,51.6411,396998247.527817,116503.404527784
96,E07000069,Castle Point, ,579490,187921,0.588084,51.5616,164383757.009521,72931.3632839291
97,E07000070,Chelmsford, ,572115,206972,0.491163,51.735,892588844.109024,182692.416176891
98,E07000071,Colchester, ,596944,223692,0.859776,51.877,907924267.632324,211039.986468087
99,E07000072,Epping Forest, ,548919,203758,0.154147,51.7128,881664153.035244,198858.939454256
100,E07000073,Harlow, ,545276,209589,0.103888,51.7661,79635149.3809967,46045.3722027863
101,E07000074,Maldon, ,591460,212199,0.773857,51.7757,1109408354.86972,178425.751797295
102,E07000075,Rochford, ,585981,191420,0.683473,51.5909,681331420.343292,306436.555260563
103,E07000076,Tendring, ,614203,222163,1.10918,51.8569,957725979.790649,162648.133247044
104,E07000077,Uttlesford, ,557832,228865,0.294485,51.9359,1684257889.26632,269791.557687636
105,E07000078,Cheltenham, ,394925,222232,-2.07515,51.8986,122269909.82251,61935.5542439458
106,E07000079,Cotswold, ,402125,208209,-1.97059,51.7725,3044930620.31921,537536.930557117
107,E07000080,Forest of Dean, ,367175,212759,-2.47755,51.8125,1468717778.09949,310001.681818303
108,E07000081,Gloucester, ,384071,216449,-2.23263,51.8464,106904125.885498,50618.3517304562
109,E07000082,Stroud, ,378806,202410,-2.3082,51.72,1240269021.05383,277500.406451722
110,E07000083,Tewkesbury, ,386347,226279,-2.19998,51.9348,1091248132.71338,326968.312253005
111,E07000084,Basingstoke and Deane, ,454508,151423,-1.22021,51.2594,1618204342.39838,229154.441366821
112,E07000085,East Hampshire, ,474404,129237,-0.93971,51.0577,1302133906.67725,229908.550315988
113,E07000086,Eastleigh, ,447202,116802,-1.32943,50.9487,214541062.355713,107823.21446651
114,E07000087,Fareham, ,453774,106324,-1.23742,50.8539,195077908.393921,87286.267791814
115,E07000088,Gosport, ,458773,101094,-1.16725,50.8064,69008037.0698853,40716.912571682
116,E07000089,Hart, ,477985,154240,-0.88321,51.282,549826387.707886,124407.04275373
117,E07000090,Havant, ,470177,108563,-1.004,50.8723,198200588.817505,87858.8667715264
118,E07000091,New Forest, ,428999,106521,-1.58936,50.8575,1948571915.53662,293499.730464169
119,E07000092,Rushmoor, ,486022,153944,-0.76807,51.2781,99676715.2827454,50968.7807399204
120,E07000093,Test Valley, ,434930,137329,-1.50214,51.1342,1592480406.59741,296018.169960211
121,E07000094,Winchester, ,453115,125901,-1.24393,51.03,1670073127.24261,266981.082184099
122,E07000095,Broxbourne, ,534742,204251,-0.05073,51.7208,133905657.369221,63047.9861179568
123,E07000096,Dacorum, ,500084,208745,-0.55098,51.7685,554474704.85025,177905.152945466
124,E07000098,Hertsmere, ,519774,199352,-0.26899,51.6802,262709937.886436,98691.1049381431
125,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.9574,987337548.951591,272987.764002803
126,E07000102,Three Rivers, ,507313,196418,-0.45005,51.6563,230600264.309341,119428.175577062
127,E07000103,Watford, ,510441,198197,-0.40429,51.6717,55652588.7938843,42530.7364717475
128,E07000105,Ashford, ,597640,140644,0.823374,51.131,1471635492.54376,237921.451094189
129,E07000106,Canterbury, ,616026,158096,1.09626,51.281,818742598.047302,192531.257700876
130,E07000107,Dartford, ,556167,172917,0.245276,51.4337,196068050.906174,84060.2914835574
131,E07000108,Dover, ,628967,150940,1.27693,51.2117,815932832.952759,182925.889301541
132,E07000109,Gravesham, ,566969,169115,0.398744,51.3965,269341899.720032,95104.6634568994
133,E07000110,Maidstone, ,580489,151670,0.584061,51.2357,1001869275.46988,194475.398601797
134,E07000111,Sevenoaks, ,552776,155218,0.188936,51.2756,945158287.056854,214785.09389349
135,E07000112,Folkestone and Hythe, ,610318,134597,1.0008,51.0722,923463686.600037,238608.588154574
136,E07000113,Swale, ,593761,161976,0.77953,51.3239,1079910771.0188,175968.300925982
137,E07000114,Thanet, ,631844,166753,1.3283,51.3525,287450326.047424,88681.6203961666
138,E07000115,Tonbridge and Malling, ,564014,153898,0.349306,51.2606,614873501.613983,175558.2381952
139,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.1025,839593429.938026,239695.575855569
140,E07000117,Burnley, ,384886,430882,-2.2308,53.7741,316586722.916016,97700.965248325
141,E07000118,Chorley, ,359189,419724,-2.61921,53.6724,577132579.727905,161160.815091714
142,E07000119,Fylde, ,339562,433812,-2.91902,53.7971,522463500.158447,131499.028995313
143,E07000120,Hyndburn, ,374407,428971,-2.38964,53.7565,208586958.543335,72115.5531453722
144,E07000121,Lancaster, ,356896,464988,-2.6603,54.079,1897183262.69922,306297.551963369
145,E07000122,Pendle, ,387637,443368,-2.18957,53.8864,486470528.761841,134291.214360553
146,E07000123,Preston, ,352820,436429,-2.71817,53.822,409475527.157959,120387.521404952
